geo,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
bgd,Bangladesh,1504.72,1495.96,1507.53,1483.23,1518.17,1546.72,1658.04,1804.91,1996.26,2227.52,2357.26,2791.32,2701.26,2782.21,2844.74,2885.51,3038.21,3187.44,3405.33,3654.73,3765.91,3879.5,3950.76,3951.03,3863.27,3802.85,3780.95,3780.49,3752.7,3909.76,4081.47,4174.43,4384.96,4757.93,5135.71,5788.92,6254.32,6788.11,7329.11,7987.92,8573.14,10120.47,10950.39,12117.03
bgr,Bulgaria,902.46,963.7,994.52,1026.48,1061.39,1108.69,1111.53,1112.31,1172.27,1186.64,1181.43,1194.74,1180.21,1193.03,1212.84,1271.98,1311.63,1311.38,1277.33,1290.53,1333.29,1317.68,1331.59,1366.41,1374.81,1436.85,1431.34,1442.02,1444.61,1396.22,1368.07,1449.6,1517.01,1517.22,1549.87,1570.47,1522.48,1522.33,1528.52,1590.64,1626.29,1597.22,1514.57,1413.19
bhr,Bahrain,11.93,12.69,13.43,14.33,15.33,16.44,17.56,18.78,20.02,21.39,22.85,23.58,24.85,25.81,26.59,27.98,29.2,30.54,31.65,32.26,33.96,34.99,36.97,40.3,43.35,46.24,48.8,51.68,55.04,58.92,63.9,66.91,69.84,71.05,71.22,73.03,75.62,76.54,75.64,76.11,73.62,78.68,80.16,90.1
bhs,Bahamas,26.84,26.89,27.41,27.78,28.14,25.22,24.99,24.56,24.97,26.23,29.96,32.34,32.9,33.99,34.7,34.48,36.77,36.95,38.84,41.32,44.36,47.31,50.17,51.11,54.53,54.7,56.97,59.23,60.73,64.55,69.96,72.34,73.72,75.64,76.66,79.85,83.33,86.27,89.12,97.34,97.42,124.76,104.47,103.34
bih,Bosnia and Herzegovina,282.33,297.12,310.4,320.93,327.35,334.92,332.74,336.41,340.26,339.82,345.25,338.11,325.61,322.72,321.47,324.69,337.3,353.44,375.18,399.57,425.35,452.79,477.24,505.99,532.33,556.23,564.98,572.39,582,592.87,596.04,595.02,601.37,605.19,615.22,628.91,631.48,644.56,648.87,665.7,676.9,661.94,668.02,659.89
blr,Belarus,804.56,818.84,811.91,850.16,923.66,944.9,969.42,971.78,986.92,1060.06,1143.28,1205.1,1311.61,1381.2,1428.54,1455.13,1492.45,1550.32,1627.24,1713.81,1712.37,1662.75,1451.94,1464.5,1657.52,1937.02,1682.27,1493.63,1399.55,1410.56,1403.34,1352.53,1347.01,1328.74,1262.95,1252.48,1258.81,1293.23,1313.25,1335.32,1294.99,1314.65,1415,1459.59
blz,Belize,3.64,3.6,3.52,3.69,3.91,3.91,3.94,4.04,4.02,4.04,4.37,4.57,4.71,4.97,5.29,5.47,6.1,6.56,7.26,7.74,8.28,8.72,9.15,9.66,10,10.61,11.05,11.62,12.34,13,13.71,14.13,15.06,15.44,16.16,17.15,17.14,17.89,18.52,19.44,20.14,21.26,20.68,21.77
bol,Bolivia,131.39,131.88,131.19,131.1,132.17,134.57,137.77,140.39,145.26,151.76,159.38,168.02,176.48,185.69,197.11,211.77,228.95,244.83,264.99,285.21,305.92,327.34,345.64,368.54,394.88,419.23,447.1,469.75,495.11,520.42,548.22,579.67,610.92,642.15,669.38,705.94,747.55,786.65,835.52,880.25,918.18,907.35,933.24,966.07
bra,Brazil,5367.94,5300.63,5468.76,5834.5,6130.8,6446.53,6698.56,7078.19,7329.67,7702,8026.39,8213.65,8699.43,9219.57,9579.81,9759.42,9974.74,10270.5,10733.88,11120.16,11422.82,11795.57,12199.56,12572.61,12985.29,13167.75,13618.21,14012.47,14643.57,15056.32,15761.24,16364.72,16778.17,17289.13,17794.88,18715.15,19420.66,20001.75,20694.12,21360.52,21292.62,22005.6,23170.86,23859.13
brb,Barbados,45.43,43.48,41.16,42.55,43.95,41.88,45.47,48.27,49.7,48.02,48.73,49.82,50.86,52.17,50.67,51.63,51.56,52.45,54.55,55.69,56.76,58.39,59.18,59.79,60.07,61.46,60.92,63.44,63.83,67.36,69.61,73.47,75.09,73.83,76.01,78.5,81.21,83.91,86.64,89.9,94.33,100.56,103.66,106.81
